RawEMG_CH-1	RawEMG_CH-2	RawEMG_CH-3	RawEMG_CH-4
-0.00912696	0.00246946	-0.00204026	-0.00461724
0.00826767	0.0102004	-0.00139601	-0.00107389
0.00150309	0.00472432	-0.00171813	-0.00429512
0.00343583	0.00408008	-0.0068721	-0.00719422
-0.00204026	0.000214602	-0.0129924	-0.0107376
-0.00429512	-0.00300663	-0.00429512	-0.00558361
-0.00590573	-0.00783847	-0.00558361	-0.0026845
-0.00236238	-0.00461724	-0.00461724	-0.00526149
-0.00365087	-0.00783847	-0.0110597	-0.00236238
-0.00300663	-0.00526149	-0.00332875	-0.00365087
0.00375795	-0.00300663	-0.00332875	-0.000751766
-0.00429512	-0.0113818	-0.0026845	0.00375795
-0.00397299	-0.00332875	-0.00719422	-0.00300663
-0.00139601	-0.000429643	-0.00204026	-0.00236238
0.000536725	-0.00365087	0.000214602	0.00472432
0.00762343	0.00343583	0.00311371	0.00311371
0.00214734	0.00214734	0.00536857	0.0044022
-0.00107389	0.00343583	0.00794555	0.00762343
0.00311371	0.0085898	0.0108447	0.0166429
-0.00332875	0.00633494	-0.00171813	0.000858848
0.000214602	0.00279158	-0.00171813	0.00311371
0.00214734	0.00987829	-0.00107389	-0.00107389
-0.00461724	0.00472432	-0.0026845	-0.00236238
0.00150309	0.00375795	-0.0113818	-0.0068721
-0.00300663	-0.00300663	-0.0100933	-0.0113818
-0.00719422	-0.00526149	-0.00622785	-0.00719422
-0.00236238	-0.0026845	-0.00880484	-0.00558361
0.00246946	0.000214602	-0.00397299	-0.00332875
0.00311371	-0.00429512	-0.00783847	-0.00493936
0.00536857	0.00118097	0.0044022	0.00182522
0.000214602	-0.00236238	-0.00107389	0.00343583
-0.000107521	-0.00171813	-0.00204026	0.000214602
0.0044022	0.00343583	0.00375795	0.00279158
0.00311371	0.00375795	0.0085898	0.00987829
-0.00461724	-0.00107389	0.00826767	0.00697918
-0.000429643	0.00246946	0.00697918	0.00150309
-0.0026845	0.000214602	0.0073013	0.00472432
-0.00300663	0.00375795	0.0102004	0.00697918
0.00472432	0.00923404	0.0166429	0.0179314
-0.00204026	0.00118097	0.00150309	-0.00365087
-0.00493936	0.00214734	0.00472432	-0.00300663
0.00665706	0.0127774	-0.00365087	-0.00912696
0.0044022	0.00536857	0.00214734	-0.00300663
-0.00332875	0.000214602	-0.00654998	-0.0110597
0.00182522	-0.0026845	-0.0100933	-0.0149252
0.000214602	-0.00204026	-0.00107389	-0.00171813
-0.000429643	-0.00332875	-0.000751766	0.00118097
0.00343583	-0.00107389	-0.000429643	-0.000107521
-0.0026845	-0.00558361	-0.0026845	-0.00493936
-0.00461724	-0.00429512	-0.00171813	0.00182522
-0.00654998	-0.00719422	-0.00622785	-0.00236238
-0.00526149	-0.00719422	0.000214602	0.00408008
-0.00654998	-0.00880484	-0.00107389	-0.0026845
-0.00107389	-0.00300663	0.00762343	0.00762343
-0.000429643	-0.00171813	-0.00107389	0.00279158
0.00118097	-0.000107521	0.00214734	-0.000429643
-0.00365087	-0.000107521	0.00923404	0.000536725
-0.00171813	0.00182522	0.00891192	0.0073013
0.0134216	0.0124553	0.0140659	0.0108447
0.00569069	0.00633494	0.00665706	0.00375795
0.00279158	0.00601281	0.00536857	0.00182522
0.00150309	0.00601281	-0.00558361	-0.00654998
0.000536725	0.0044022	-0.00654998	0.000858848
-0.00204026	-0.0026845	-0.0181464	-0.0113818
-0.00816059	-0.00622785	-0.0120261	-0.0110597
-0.00622785	-0.00622785	-0.00654998	-0.0026845
-0.0104154	-0.00493936	-0.0113818	-0.00332875
-0.00526149	-0.00526149	-0.0123482	-0.00429512
-0.00107389	-0.00493936	-0.00848271	-0.00332875
-0.0026845	-0.00204026	0.00536857	-0.00204026
0.00150309	-0.00236238	0.00150309	-0.00332875
-0.0026845	-0.00204026	0.00182522	-0.00139601
0.00118097	-0.000429643	0.00150309	-0.00397299
0.0073013	0.00279158	0.0102004	0.00987829
0.00697918	0.00536857	0.0124553	0.0105225
0.00279158	-0.00204026	0.00408008	0.00504644
0.0044022	0.0044022	0.00987829	0.00955616
0.0044022	0.00408008	0.0153544	0.0137438
0.00472432	0.00408008	0.00955616	0.00955616
-0.000429643	0.00408008	0.00536857	0.00472432
-0.000751766	0.00375795	0.00150309	0.00118097
0.00311371	0.0105225	-0.00365087	-0.00526149
-0.000107521	0.00118097	-0.00526149	-0.00622785
-0.00622785	-0.00558361	-0.0175022	-0.0207234
-0.0068721	-0.00719422	-0.0226561	-0.0204013
0.000536725	-0.000751766	-0.00590573	-0.000429643
-0.00300663	-0.00429512	-0.00880484	-0.00816059
-0.00300663	-0.00912696	-0.00622785	-0.00461724
0.00150309	-0.00493936	-0.00751634	-0.00461724
-0.00300663	-0.00107389	0.000536725	-0.000751766
-0.00590573	-0.00816059	-0.00332875	-0.00139601
0.00472432	-0.000751766	0.00601281	0.00472432
-0.000751766	-0.00429512	0.000858848	-0.000751766
-0.000107521	-0.00139601	0.00794555	0.0102004
-0.00204026	-0.00107389	0.00536857	0.00665706
-0.000107521	-0.00429512	0.00343583	0.000536725
-0.000429643	-0.00365087	0.00569069	0.00343583
0.00536857	0.00118097	0.00794555	0.00601281
0.00569069	0.0114889	0.0121331	0.00665706
-0.000107521	0.00214734	-0.0026845	0.000214602
0.0105225	0.00794555	0.00633494	0.00601281
-0.00300663	0.0044022	-0.00654998	-0.0117039
0.00150309	0.0044022	-0.00493936	-0.0026845
-0.00332875	-0.000751766	-0.0136367	-0.0104154
-0.00397299	-0.00236238	-0.014603	-0.0097712
0.00246946	0.00311371	-0.00590573	-0.00493936
-0.00783847	-0.00300663	-0.00397299	-0.00590573
-0.00139601	-0.00139601	-0.00848271	-0.00332875
-0.00300663	-0.000429643	-0.00171813	-0.00236238
-0.00365087	-0.00526149	-0.00204026	0.00343583
-0.0104154	-0.0068721	-0.00558361	-0.00654998
-0.00332875	-0.000751766	0.00150309	0.00214734
-0.0026845	-0.00590573	-0.00719422	-0.00397299
0.00633494	0.00246946	0.00472432	0.00762343
0.00150309	-0.00236238	0.00601281	0.000858848
0.00569069	-0.000429643	0.00150309	0.00311371
0.00279158	0.00246946	0.00697918	0.00343583
0.0073013	0.00762343	0.0102004	0.0150323
0.0134216	0.0121331	0.0105225	0.00794555
0.00311371	0.00569069	0.00504644	0.00504644
0.00601281	0.00794555	0.0073013	0.00794555
-0.0068721	0.00343583	-0.0123482	-0.0120261
-0.00139601	0.00311371	-0.00751634	-0.00332875
-0.0117039	-0.00751634	-0.014603	-0.0139588
-0.0149252	-0.00816059	-0.0168579	-0.0149252
-0.00365087	-0.00139601	-0.0104154	-0.00558361
-0.00493936	-0.0104154	-0.0117039	-0.0097712
-0.0068721	-0.0100933	-0.0117039	-0.0097712
0.00375795	-0.00719422	-0.00654998	-0.0068721
-0.00204026	-0.00622785	-0.00429512	-0.00429512
-0.00590573	-0.00880484	-0.00944908	-0.00751634
0.00375795	-0.00204026	0.00246946	0.00504644
-0.000429643	-0.00590573	-0.00171813	0.00182522
0.00891192	0.00472432	0.00472432	0.00504644
0.00311371	0.00343583	0.00987829	0.0108447
-0.000107521	-0.000429643	0.00472432	-0.000751766
-0.0026845	0.000858848	0.00633494	0.00118097
0.00214734	0.00408008	0.0124553	0.0130995
0.00472432	0.0044022	0.00536857	0.00311371
-0.00171813	0.00150309	-0.00107389	-0.000429643
-0.00107389	0.00246946	-0.00236238	0.000536725
0.000214602	0.00118097	-0.0129924	-0.014603
0.00182522	-0.0026845	-0.00944908	-0.00558361
-0.00848271	-0.00493936	-0.0155694	-0.0120261
-0.00816059	-0.00558361	-0.0191128	-0.0168579
0.00536857	-0.00300663	-0.00300663	-0.000429643
0.00182522	-0.00139601	-0.00204026	-0.000107521
-0.00590573	-0.0104154	-0.00848271	-0.00558361
-0.00107389	-0.00365087	-0.00654998	-0.00171813
0.000858848	-0.000751766	-0.00139601	0.0044022
-0.0123482	-0.0104154	-0.00622785	-0.00236238
-0.00558361	-0.0026845	0.000214602	0.000536725
-0.00526149	-0.00461724	0.00214734	0.00150309
0.000858848	-0.000751766	0.00118097	0.00504644
0.00311371	0.0044022	0.00246946	0.00536857
-0.00397299	-0.000751766	-0.000107521	-0.000429643
-0.00526149	-0.000751766	-0.00107389	-0.00332875
0.0111668	0.0085898	0.0134216	0.00891192
0.0111668	0.00987829	0.00408008	0.00408008
0.00150309	0.00504644	0.00343583	0.00279158
0.00762343	0.00633494	0.00665706	0.00375795
-0.00139601	0.000858848	-0.0117039	-0.014603
0.00343583	0.00697918	-0.00236238	-0.000751766
-0.00622785	-0.00493936	-0.0117039	-0.00751634
-0.0097712	-0.00429512	-0.0194349	-0.014603
-0.00171813	-0.00397299	-0.00783847	-0.000429643
-0.00365087	-0.00526149	-0.0068721	-0.00171813
-0.0139588	-0.0110597	-0.0113818	-0.0026845
-0.00912696	-0.0107376	-0.0113818	-0.00622785
-0.00429512	-0.00526149	-0.00204026	0.000858848
-0.00816059	-0.00912696	-0.00332875	-0.00751634
-0.00139601	-0.0026845	0.00311371	0.00569069
-0.00300663	-0.00397299	-0.00300663	-0.000107521
0.00472432	0.000536725	0.00343583	-0.00204026
0.00665706	0.00279158	0.00633494	0.00311371
0.00214734	-0.00171813	-0.000107521	-0.00365087
0.00150309	-0.000429643	0.00826767	0.00536857
0.0085898	0.00923404	0.0102004	0.0127774
0.00472432	0.00891192	0.0102004	0.00762343
0.00343583	0.0105225	0.00472432	0.00665706
0.00601281	0.0114889	0.00633494	0.00665706
-0.0100933	-0.0026845	-0.0117039	-0.0110597
-0.00461724	0.00246946	-0.00719422	-0.00397299
-0.0139588	-0.0026845	-0.0100933	-0.0120261
-0.0200791	-0.0120261	-0.01718	-0.0152473
0.000858848	-0.000751766	-0.00526149	-0.00332875
-0.00429512	-0.00526149	-0.00429512	-0.00558361
-0.0068721	-0.0104154	-0.00816059	-0.00719422
-0.00139601	-0.00429512	-0.00493936	-0.00590573
-0.000107521	-0.000107521	-0.00107389	0.00504644
-0.00880484	-0.0117039	-0.00590573	-0.00107389
-0.000751766	-0.00300663	0.00536857	0.00472432
-0.00300663	-0.00622785	-0.000107521	0.00182522
0.00665706	0.00375795	0.0044022	0.00472432
-0.00171813	0.000858848	0.00697918	0.00794555
-0.00171813	-0.00654998	-0.00429512	-0.00171813
-0.00107389	-0.00236238	-0.000751766	-0.000751766
0.00697918	0.00826767	0.014388	0.0134216
0.000536725	0.00665706	0.00182522	0.00472432
-0.00332875	0.00343583	-0.00429512	0.000536725
0.00762343	0.00762343	-0.000751766	-0.000751766
-0.000107521	0.00601281	-0.00880484	-0.0139588
0.0044022	0.00601281	-0.00107389	-0.00204026
-0.0068721	-0.00558361	-0.00816059	-0.00558361
-0.0097712	-0.00848271	-0.0129924	-0.0120261
0.00794555	0.00182522	0.00504644	0.00343583
-0.00300663	-0.00751634	-0.00429512	-0.000751766
-0.00848271	-0.00816059	-0.00816059	-0.00429512
-0.0026845	-0.00719422	-0.00397299	0.00150309
-0.00429512	-0.00944908	-0.00526149	-0.00204026
-0.00783847	-0.00848271	-0.000429643	0.00150309
-0.00751634	-0.00429512	0.00214734	0.00536857
-0.00590573	-0.0068721	-0.00719422	-0.00944908
0.00182522	-0.00204026	0.00279158	0.0044022
0.00150309	-0.000107521	0.00472432	0.00311371
-0.00622785	-0.00365087	0.000214602	-0.00944908
-0.0068721	-0.000751766	0.00150309	0.00279158
0.0163207	0.0150323	0.0137438	0.0114889
0.00504644	0.0102004	0.0130995	0.0085898
0.00536857	0.0085898	0.00311371	0.0044022
0.00601281	0.0134216	0.00246946	0.00246946
-0.00461724	-0.000429643	-0.0139588	-0.00880484
0.000536725	0.00408008	-0.00139601	-0.000429643
-0.00751634	-0.00429512	-0.00332875	-0.00493936
-0.0117039	-0.00880484	-0.014603	-0.00751634
-0.00139601	0.000214602	-0.00171813	-0.000107521
-0.0113818	-0.0107376	-0.00912696	-0.00751634
-0.00783847	-0.0107376	-0.00783847	-0.00590573
-0.00139601	-0.00429512	-0.00139601	-0.00332875
0.000858848	-0.00526149	-0.00493936	-0.00332875
-0.0068721	-0.00944908	-0.00558361	-0.0026845
-0.000751766	-0.00204026	0.00601281	0.00601281
0.00279158	-0.00365087	0.00150309	0.00214734
-0.00236238	0.00246946	0.00665706	0.00311371
0.00536857	0.00536857	0.00408008	0.00536857
-0.00526149	-0.00204026	-0.00429512	-0.0026845
-0.0026845	-0.00236238	0.00536857	0.00408008
0.00279158	0.00633494	0.00955616	0.00955616
-0.00171813	0.00569069	0.00536857	0.00536857
-0.000107521	0.00246946	0.00118097	0.000214602
0.00633494	0.00569069	-0.00171813	-0.00300663
-0.00944908	-0.00461724	-0.0149252	-0.0142809
-0.00139601	0.00118097	-0.00493936	-0.00719422
-0.00461724	-0.00107389	-0.0107376	-0.00783847
-0.000429643	-0.00139601	-0.00848271	-0.00654998
0.0044022	0.000858848	0.00150309	0.00279158
-0.00171813	-0.00558361	-0.00880484	-0.00526149
-0.00751634	-0.00590573	-0.00429512	-0.00332875
-0.00300663	-0.00493936	-0.00204026	0.00375795
-0.00300663	-0.00300663	-0.00300663	0.00182522
-0.00719422	-0.00751634	-0.00236238	-0.000107521
0.00214734	-0.00171813	0.00569069	0.0124553
-0.00622785	-0.00397299	-0.00139601	0.00182522
-0.00590573	-0.00236238	-0.00461724	-0.000751766
0.00182522	-0.000107521	0.00118097	-0.00204026
-0.0097712	-0.00944908	-0.00397299	-0.00622785
-0.00300663	-0.00300663	-0.00139601	0.000858848
0.0044022	0.0073013	0.0105225	0.0085898
0.00214734	0.00472432	0.00472432	0.00150309
0.00472432	0.00504644	0.00536857	-0.00332875
0.00569069	0.00697918	0.00311371	-0.00204026
-0.00622785	0.000536725	-0.00816059	-0.0120261
0.00891192	0.0085898	0.000536725	-0.00171813
0.00182522	-0.00139601	0.000858848	-0.000107521
-0.00526149	-0.00139601	-0.00590573	-0.00365087
0.00150309	-0.000107521	0.000858848	0.000858848
-0.00816059	-0.00622785	-0.00461724	0.000214602
-0.00493936	-0.00590573	-0.00783847	-0.00493936
-0.00365087	-0.00783847	-0.0026845	0.000214602
-0.00526149	-0.00397299	-0.0026845	0.00118097
-0.00590573	-0.0026845	-0.00107389	0.00182522
0.00246946	-0.00107389	-0.0026845	0.00246946
-0.00332875	-0.00526149	-0.00429512	-0.00590573
-0.00300663	-0.00171813	-0.00171813	-0.00429512
0.00214734	-0.00107389	0.00118097	-0.00139601
-0.00944908	-0.0026845	-0.000107521	-0.000107521
-0.00365087	-0.00171813	0.00472432	0.00408008
0.00923404	0.00665706	0.0153544	0.00987829
-0.000429643	0.00633494	0.00569069	0.00569069
0.00118097	0.00504644	0.00214734	0.00246946
-0.00365087	0.00375795	-0.00171813	-0.00493936
-0.0142809	-0.00751634	-0.0123482	-0.0113818
-0.00107389	0.0073013	-0.000107521	-0.00558361
-0.00944908	-0.00397299	-0.00751634	0.00150309
-0.0068721	-0.00816059	-0.0117039	-0.00558361
0.000858848	-0.00429512	-0.00461724	-0.00461724
-0.00171813	-0.00719422	-0.00526149	-0.00429512
-0.00880484	-0.00816059	-0.00493936	-0.00204026
-0.00236238	-0.00493936	-0.00526149	0.00375795
-0.00139601	-0.00654998	-0.00848271	-0.00171813
0.00343583	-0.000107521	0.00214734	0.0085898
0.00633494	0.00343583	0.00987829	0.0102004
-0.00397299	0.000536725	0.000536725	0.00601281
-0.0104154	-0.00848271	-0.00171813	-0.000429643
0.000536725	0.000858848	-0.000751766	0.000536725
-0.00944908	-0.00429512	0.00150309	-0.00332875
-0.0113818	-0.00622785	0.000858848	0.00311371
0.000858848	0.00665706	0.00279158	0.00408008
0.00150309	0.00246946	0.00343583	0.00182522
0.00118097	0.00246946	-0.000429643	0.00246946
0.00311371	0.000536725	-0.00526149	-0.00944908
-0.0120261	-0.00590573	-0.0155694	-0.0107376
0.00794555	0.00569069	-0.00590573	-0.00204026
0.00343583	0.00472432	-0.0026845	0.00343583
0.00118097	0.000858848	-0.00461724	0.00214734
0.00794555	0.0044022	-0.00107389	0.00343583
-0.0068721	-0.00365087	-0.00332875	0.00214734
-0.00461724	-0.00558361	-0.00171813	-0.00300663
-0.00139601	-0.00558361	0.00311371	0.00150309
-0.00429512	-0.00526149	0.0044022	0.00633494
-0.000107521	-0.00300663	0.0044022	0.0085898
0.000858848	-0.000429643	-0.00204026	0.0044022
-0.00461724	-0.0104154	-0.00719422	-0.00461724
-0.00397299	-0.00590573	-0.00493936	-0.00944908
-0.00719422	-0.00365087	-0.00332875	-0.00429512
-0.00816059	-0.00816059	-0.00719422	-0.0097712
-0.00171813	-0.00236238	0.00343583	-0.000107521
0.0105225	0.00762343	0.00601281	0.00633494
0.00343583	0.00665706	0.00665706	0.000858848
0.00279158	0.0073013	0.00408008	0.00408008
0.000536725	0.00214734	-0.00590573	-0.00558361
-0.00365087	-0.00300663	-0.0129924	-0.0097712
0.0085898	0.0108447	0.00408008	0.00343583
-0.00558361	0.00150309	-0.00139601	0.00633494
-0.00107389	-0.000107521	-0.0026845	0.00214734
-0.00204026	0.000536725	-0.00139601	0.00150309
-0.00654998	-0.00816059	-0.00719422	-0.00300663
-0.0126703	-0.0129924	-0.00912696	-0.00558361
-0.00848271	-0.0097712	-0.00590573	-0.0026845
-0.0026845	-0.00654998	-0.00880484	-0.000429643
0.00375795	-0.000107521	0.0073013	0.00826767
0.00891192	0.00150309	0.00504644	0.00601281
-0.00171813	-0.00300663	-0.00107389	-0.00107389
-0.00590573	-0.00526149	-0.0100933	-0.0107376
0.00536857	0.00246946	0.00150309	0.00150309
-0.0068721	-0.00558361	0.00182522	-0.00171813
-0.0068721	-0.000107521	0.00665706	0.00633494
-0.000107521	0.00504644	0.0127774	0.00665706
-0.00107389	0.00375795	0.00697918	0.0105225
-0.00171813	0.00311371	0.00375795	0.00504644
-0.00719422	-0.000107521	-0.0068721	-0.0068721
-0.0149252	-0.00590573	-0.0126703	-0.00783847
0.00182522	0.00472432	-0.00236238	-0.00300663
0.00311371	0.00762343	0.0102004	0.0105225
-0.00139601	-0.00204026	-0.00332875	-0.00461724
0.00150309	0.00214734	0.000214602	-0.00204026
-0.0068721	-0.00622785	-0.00397299	-0.000429643
-0.00365087	-0.00622785	-0.00397299	0.000858848
0.000536725	-0.00429512	0.00182522	0.00182522
0.00311371	-0.000751766	0.00182522	0.00311371
0.0044022	0.00504644	0.00504644	0.0102004
0.0044022	0.00665706	0.00923404	0.0121331
-0.00719422	-0.00300663	-0.000107521	0.00214734
-0.0123482	-0.0107376	-0.0097712	-0.00751634
-0.00751634	-0.00751634	-0.0068721	-0.00397299
-0.0155694	-0.00880484	-0.00300663	-0.00365087
-0.0152473	-0.00590573	0.00601281	0.00472432
0.00311371	0.0073013	0.00601281	0.0044022
-0.00107389	0.000858848	-0.00171813	-0.00493936
0.00246946	0.00794555	0.00408008	0.00150309
-0.0026845	-0.000429643	-0.00719422	-0.00816059
-0.00526149	-0.00171813	-0.00944908	-0.0129924
0.0105225	0.00762343	0.00246946	0.00601281
0.0121331	0.0124553	0.00987829	0.0108447
0.00343583	0.00794555	0.0073013	0.00697918
0.00311371	0.00472432	0.0044022	0.0073013
0.000858848	-0.00139601	-0.0026845	0.00182522
-0.00654998	-0.00719422	-0.00139601	-0.00139601
-0.00204026	-0.00139601	0.000214602	0.00214734
-0.00429512	-0.00397299	-0.00397299	-0.00107389
0.00697918	0.00311371	0.00826767	0.0140659
0.00536857	-0.00204026	0.00182522	0.00601281
-0.00236238	-0.00429512	0.00504644	0.00601281
-0.0187906	-0.014603	-0.0184685	-0.0178243
-0.014603	-0.00719422	-0.00719422	-0.0113818
-0.00944908	-0.00300663	-0.00139601	-0.00171813
-0.000107521	0.00150309	0.00504644	0.00633494
0.00536857	0.00762343	0.0124553	0.00794555
0.000536725	0.00697918	0.0085898	0.00343583
0.00150309	0.00665706	0.00987829	0.00311371
-0.00558361	-0.00461724	-0.00171813	-0.00590573
-0.00139601	0.00279158	-0.0026845	-0.00429512
-0.00236238	0.00601281	0.000536725	-0.00204026
0.0085898	0.0105225	0.0108447	0.0153544
0.00343583	0.00569069	0.00279158	0.00150309
0.00182522	-0.00107389	-0.00236238	0.00118097
-0.00526149	-0.00558361	-0.00397299	-0.00429512
-0.00783847	-0.00719422	-0.00300663	-0.0026845
0.000858848	-0.00332875	-0.00171813	0.000214602
0.00343583	-0.00171813	0.000858848	-0.00171813
0.00472432	0.0044022	0.00923404	0.00891192
0.00569069	0.00214734	0.00182522	0.00665706
0.00182522	0.00311371	0.00762343	0.0102004
-0.0184685	-0.0165358	-0.0155694	-0.0100933
-0.00622785	-0.00429512	-0.000429643	-0.00429512
-0.0142809	-0.00429512	0.00214734	0.00408008
-0.00461724	0.00214734	0.00762343	0.00826767
0.00214734	0.0044022	0.00923404	0.0073013
-0.000751766	0.00343583	0.00762343	0.00118097
-0.00107389	0.0085898	0.0102004	0.00569069
-0.00558361	-0.00171813	-0.00751634	-0.00816059
-0.00332875	0.000536725	-0.00848271	-0.00912696
0.00569069	0.0114889	-0.000751766	0.000536725
0.022119	0.0176092	0.014388	0.0130995
0.00891192	0.00665706	0.00794555	0.00794555
0.00504644	0.000858848	-0.00526149	0.00214734
-0.000107521	-0.000429643	0.000214602	-0.00236238
-0.00139601	-0.0026845	0.00246946	0.00375795
0.00311371	-0.00204026	0.00279158	0.00246946
-0.00171813	-0.00300663	-0.00365087	0.00375795
0.00826767	0.00279158	0.00697918	0.00987829
-0.00171813	-0.0026845	0.000858848	0.00601281
-0.00526149	-0.0068721	0.00408008	0.00472432
-0.0300649	-0.0216897	-0.0168579	-0.0117039
-0.0120261	-0.00816059	-0.00654998	-0.00365087
-0.0142809	-0.0100933	-0.00558361	-0.00558361
-0.00204026	0.00150309	0.00762343	0.00665706
-0.00365087	0.000858848	0.00118097	-0.000429643
0.000536725	0.00214734	-0.0026845	-0.00365087
0.00311371	0.00601281	0.00472432	-0.00139601
-0.00429512	0.00182522	-0.00365087	-0.00300663
-0.00300663	0.00472432	-0.00236238	-0.00622785
0.00762343	0.0105225	0.00343583	0.00408008
0.0237296	0.0185756	0.00569069	0.00987829
0.0124553	0.0114889	0.0073013	0.0130995
0.00214734	0.000214602	-0.00204026	0.00118097
-0.00429512	-0.00526149	-0.00751634	-0.000751766
-0.00558361	-0.00332875	-0.00493936	0.0044022
-0.00365087	-0.00590573	-0.00493936	-0.000429643
-0.00332875	0.000858848	-0.000107521	-0.00204026
0.00343583	0.00311371	0.000858848	0.00343583
0.000858848	-0.00139601	-0.00300663	-0.00171813
0.00311371	0.00408008	0.0044022	0.00601281
-0.0158915	-0.0152473	-0.0139588	-0.0123482
-0.00912696	-0.00590573	-0.00461724	-0.0104154
-0.00300663	-0.00590573	-0.00204026	0.000214602
0.000858848	-0.00171813	0.00762343	0.0073013
-0.000751766	0.00150309	0.0085898	0.00665706
0.00214734	0.00343583	0.00601281	0.00343583
-0.00171813	0.00536857	0.0073013	0.00150309
-0.00880484	-0.00300663	-0.00493936	-0.0026845
-0.00719422	-0.00107389	-0.00783847	-0.00558361
0.00214734	0.00665706	-0.00107389	0.000536725
0.014388	0.0147101	0.00536857	0.00601281
0.0102004	0.00955616	0.00118097	0.00472432
-0.00332875	0.000536725	-0.00622785	-0.0026845
-0.00236238	-0.0068721	-0.00816059	-0.00751634
0.000536725	-0.00107389	0.00504644	-0.000429643
0.000858848	-0.0068721	-0.00139601	0.00118097
0.000858848	-0.00300663	-0.000429643	-0.00300663
0.0140659	0.00536857	0.00665706	0.0114889
0.00214734	0.00279158	0.00504644	0.00633494
-0.000107521	0.00246946	0.0085898	0.0111668
-0.024911	-0.0152473	-0.0068721	-0.00429512
-0.0152473	-0.00622785	-0.00751634	-0.00654998
-0.0113818	-0.00590573	0.00246946	-0.00107389
-0.00204026	0.00182522	0.0085898	0.00697918
-0.00365087	0.00311371	0.00408008	0.00246946
-0.00429512	0.000214602	-0.00429512	-0.000107521
0.00311371	0.00697918	-0.00139601	-0.00204026
-0.00880484	-0.000107521	-0.00107389	-0.00558361
-0.00107389	0.00569069	-0.00300663	-0.00622785
0.0044022	0.00955616	0.00118097	-0.000107521
0.0124553	0.0127774	-0.00107389	0.00375795
0.0179314	0.00891192	0.00923404	0.00794555
0.000858848	0.00311371	0.00504644	0.00118097
0.000858848	-0.00397299	-0.00107389	-0.00107389
